request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_36,603.48,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954 in full on 15 September 2026. Only USD 603.48 is safe today: paying earlier would take the balance below the USD 2,400 minimum (lowest projected balance USD 3,003.48 on 9 July 2026); after the USD 2,988 salary on 15 July 2026 the full payment keeps the minimum protected."
request_37,4024102.42,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Pay IDR 14,649,000 in full on 15 May 2024. Only IDR 4,024,102.42 is safe today: paying earlier would take the balance below the IDR 17,056,200 minimum (lowest projected balance IDR 21,080,302.42 on 13 April 2024); after the IDR 21,090,000 salary on 15 March 2024 the full payment keeps the minimum protected."
request_38,148.65,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 in full on 15 October 2025. Only EUR 148.65 is safe today: paying earlier would take the balance below the EUR 400 minimum (lowest projected balance EUR 548.65 on 13 August 2025); after the EUR 737 salary on 15 August 2025 the full payment keeps the minimum protected.
request_39,51626.96,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 15 June 2026. Only INR 51,626.96 is safe today: paying earlier would take the balance below the INR 213,400 minimum (lowest projected balance INR 265,026.96 on 14 April 2026); after the INR 253,989.84 salary on 15 April 2026 the full payment keeps the minimum protected."
request_40,354.68,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Pay EUR 1,290.30 in full on 15 August 2024. Only EUR 354.68 is safe today: paying earlier would take the balance below the EUR 1,500 minimum (lowest projected balance EUR 1,854.68 on 12 June 2024 (including the reserved EUR 43 pending online order charge on 7 June 2024)); after the EUR 1,760 salary on 15 June 2024 the full payment keeps the minimum protected."
request_41,8496977.39,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 15 January 2026. Only IDR 8,496,977.39 is safe today: paying earlier would take the balance below the IDR 25,366,600 minimum (lowest projected balance IDR 33,863,577.39 on 14 November 2025 (including the reserved IDR 2,920,300 pending fuel authorization on 5 November 2025)); after the IDR 42,559,991.04 salary on 15 November 2025 the full payment keeps the minimum protected."
request_42,29900.73,affordable_later,wait,2026-03-15:52100,2026-03-15,none,"Pay INR 52,100 in full on 15 March 2026. Only INR 29,900.73 is safe today: paying earlier would take the balance below the INR 113,100 minimum (lowest projected balance INR 143,000.73 on 13 March 2026 (including the reserved INR 8,100 pending merchant debit on 8 January 2026)); after the INR 91,760 salary on 15 January 2026 the full payment keeps the minimum protected."
request_43,6608347.37,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 15 November 2024. Only IDR 6,608,347.37 is safe today: paying earlier would take the balance below the IDR 21,398,000 minimum (lowest projected balance IDR 28,006,347.37 on 13 September 2024 (including the reserved IDR 1,254,000 pending pharmacy card charge on 11 September 2024)); after the IDR 32,870,000 salary on 15 September 2024 the full payment keeps the minimum protected."
request_44,22507.24,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Pay INR 95,800 in full on 15 April 2025. Only INR 22,507.24 is safe today: paying earlier would take the balance below the INR 82,900 minimum (lowest projected balance INR 105,407.24 on 14 February 2025 (including the reserved INR 4,830 scheduled utility debit on 11 February 2025)); after the INR 115,000 salary on 15 February 2025 the full payment keeps the minimum protected."
request_45,3402834.35,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 15 September 2026. Only IDR 3,402,834.35 is safe today: paying earlier would take the balance below the IDR 11,149,800 minimum (lowest projected balance IDR 14,552,634.35 on 11 July 2026); after the IDR 17,290,000 salary on 15 July 2026 the full payment keeps the minimum protected."
request_46,31837.39,affordable_with_plan,partial_payment,2024-12-03:31837.39|2024-12-15:17612.61,2024-12-15,none,"Pay INR 31,837.39 today and the remaining INR 17,612.61 on 15 December 2024. INR 31,837.39 is the most the balance can absorb before the INR 145,000 salary on 15 December 2024; the second payment completes the request by the 9 January 2025 deadline and keeps the INR 84,000 minimum protected."
request_47,2243232.56,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 38,114,000 request. Although IDR 2,243,232.56 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at IDR 32,292,232.56 on 3 August 2025 against the IDR 30,049,000 minimum, and no confirmed income is projected in the window."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. Even after paying, the balance stays above the INR 71,300 minimum for the next 90 days (lowest point INR 77,315.44 on 13 August 2026), with the INR 81,996.72 salary on 15 August 2026."
request_49,11133148.53,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,reduce_to:event_4569:368600,"Reduce the community fitness plan to IDR 368,600, then use 3 installments of IDR 11,902,106.67, starting 18 March 2024 (total IDR 35,706,320.01). Paying IDR 34,333,000 today is not safe (only IDR 11,133,148.53 is available above the IDR 20,275,700 minimum); the installments are covered by the IDR 31,464,000 salary on 15 March 2024 and keep at least IDR 20,275,700 available."
request_50,42580.93,affordable_with_plan,full_payment,2025-08-06:43900,2025-10-15,stop:event_4679,"Stop the cloud storage plan, then pay INR 43,900 today. Without these changes only INR 42,580.93 is safe today and the full amount is not safe until 15 October 2025, past the 21 August 2025 deadline; with them the balance stays above the INR 99,700 minimum, helped by the INR 78,120 salary on 15 August 2025."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. Even after paying, the balance stays above the IDR 7,811,000 minimum for the next 90 days (lowest point IDR 7,931,502.62 on 3 April 2026)."
request_52,15173.09,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 15 June 2024, then pay INR 28,870 in full. Only INR 15,173.09 is safe today: paying earlier would take the balance below the INR 41,500 minimum (lowest projected balance INR 56,673.09 on 10 June 2024); after the INR 69,000 salary on 15 June 2024 the full payment keeps the minimum protected."
request_53,458.06,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,reduce_to:event_4992:44.50,"Reduce the bakery and snacks to USD 44.50, then use 3 installments of USD 589.06, starting 21 November 2025 (total USD 1,767.18). Paying USD 1,699.20 today is not safe (only USD 458.06 is available above the USD 2,100 minimum); the installments are covered by the USD 2,880 salary on 15 November 2025 and keep at least USD 2,100 available."
request_54,2134.18,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 2,134.18 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at ZAR 39,134.18 on 11 July 2026 against the ZAR 37,000 minimum, and the ZAR 42,460 salary on 15 July 2026."
request_55,128288.91,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026 (total INR 227,343.99). Paying INR 218,600 today is not safe (only INR 128,288.91 is available above the INR 124,300 minimum); the installments are covered by the INR 216,000 salary on 15 June 2026 and keep at least INR 124,300 available."
request_56,527.66,affordable_with_plan,partial_payment,2025-02-03:527.66|2025-02-15:353.90,2025-02-15,none,"Pay USD 527.66 today and the remaining USD 353.90 on 15 February 2025. USD 527.66 is the most the balance can absorb before the USD 2,388 salary on 15 February 2025; the second payment completes the request by the 13 March 2025 deadline and keeps the USD 2,100 minimum protected."
request_57,10019.4,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Only ZAR 10,019.40 is safe today: paying earlier would take the balance below the ZAR 42,700 minimum (lowest projected balance ZAR 52,719.40 on 12 April 2026); after the ZAR 50,160 salary on 15 April 2026 the full payment keeps the minimum protected."
request_58,14769167.99,affordable_with_plan,full_payment,2024-12-07:16226000,2025-02-15,stop:event_5357|reduce_to:event_5358:350550,"Stop the food delivery membership and reduce the community fitness plan to IDR 350,550, then pay IDR 16,226,000 today. Without these changes only IDR 14,769,167.99 is safe today and the full amount is not safe until 15 February 2025, past the 25 January 2025 deadline; with them the balance stays above the IDR 14,433,900 minimum, helped by the IDR 16,020,800 salary on 15 December 2024."
request_59,131129.58,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,stop:event_5471|stop:event_5473,"Stop the fitness club membership and stop the music subscription, then use 3 installments of INR 48,741.33, starting 7 May 2025 (total INR 146,223.99). Paying INR 140,600 today is not safe (only INR 131,129.58 is available above the INR 132,600 minimum); the spread-out installments fit the existing balance and keep at least INR 132,600 available."
request_60,118.24,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,"Wait until 15 February 2026, then pay USD 199.89 in full. Only USD 118.24 is safe today: paying earlier would take the balance below the USD 400 minimum (lowest projected balance USD 518.24 on 14 January 2026 (including the reserved USD 35 pending online order charge on 7 January 2026)); after the USD 530.40 salary on 15 January 2026 the full payment keeps the minimum protected."
request_61,29051.79,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,,reduce_to:event_5715:784.30,"Reduce the family dinner to ZAR 784.30, then use 3 installments of ZAR 10,074.83, starting 17 March 2024 (total ZAR 30,224.49). Paying ZAR 29,062 today is not safe (only ZAR 29,051.79 is available above the ZAR 36,700 minimum); the spread-out installments fit the existing balance and keep at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. Even after paying, the balance stays above the USD 1,300 minimum for the next 90 days (lowest point USD 3,452.01 on 3 November 2025 (including the reserved USD 145 pending merchant debit on 8 August 2025)), with the USD 2,112 invoice payment on 15 August 2025."
request_63,41808.05,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 41,808.05 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at INR 195,308.05 on 14 July 2026 (including the reserved INR 8,150 pending pharmacy card charge on 11 July 2026) against the INR 153,500 minimum, and the INR 189,992.40 salary on 15 July 2026."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. The projected balance already falls to INR -868.42 on 13 June 2024 (including the reserved INR 79,679.26 large grocery tax invoice on 10 June 2024), below the INR 36,100 minimum, so no payment option is safe."
request_65,5020.44,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 5,020.44 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at ZAR 20,520.44 on 14 November 2025 against the ZAR 15,500 minimum, and the ZAR 22,220 salary on 15 November 2025."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. Even after paying, the balance stays above the INR 80,700 minimum for the next 90 days (lowest point INR 199,133.94 on 2 July 2026), with the INR 116,000 invoice payment on 15 April 2026."
request_67,415.21,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 15 November 2024. Only USD 415.21 is safe today: paying earlier would take the balance below the USD 1,200 minimum (lowest projected balance USD 1,615.21 on 13 September 2024); after the USD 2,047.68 salary on 15 September 2024 the full payment keeps the minimum protected."
request_68,1335.35,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,reduce_to:event_6331:24.80,"Reduce the household shopping to USD 24.80, then use 3 installments of USD 725.09, starting 14 February 2025 (total USD 2,175.27). Paying USD 2,091.60 today is not safe (only USD 1,335.35 is available above the USD 1,500 minimum); the installments are covered by the USD 2,496 salary on 23 February 2025 and keep at least USD 1,500 available."
request_69,509.16,affordable_with_plan,full_payment,2026-01-04:529.10,2026-01-15,stop:event_6405,"Stop the family streaming plan, then pay EUR 529.10 today. Without these changes only EUR 509.16 is safe today and the full amount is not safe until 15 January 2026, past the 14 January 2026 deadline; with them the balance stays above the EUR 700 minimum, helped by the EUR 1,177 salary on 15 January 2026."
request_70,40236.95,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Only INR 40,236.95 is safe today: paying earlier would take the balance below the INR 115,000 minimum (lowest projected balance INR 155,236.95 on 12 December 2024); after the INR 203,000 salary on 15 December 2024 the full payment keeps the minimum protected."
request_71,541245.45,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request. Although IDR 541,245.45 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at IDR 9,426,045.45 on 14 May 2025 against the IDR 8,884,800 minimum, and the IDR 11,019,997.68 salary on 15 May 2025."
request_72,10930.21,affordable_with_plan,full_payment,2026-07-05:11330,2026-07-15,reduce_to:event_6749:410.30,"Reduce the takeaway order to ZAR 410.30, then pay ZAR 11,330 today. Without these changes only ZAR 10,930.21 is safe today and the full amount is not safe until 15 July 2026, past the 14 July 2026 deadline; with them the balance stays above the ZAR 12,200 minimum, helped by the ZAR 18,700 salary on 15 July 2026."
request_73,65695.59,affordable_later,wait,2023-02-15:71400,2023-02-15,none,"Wait until 15 February 2023, then pay INR 71,400 in full. Only INR 65,695.59 is safe today: paying earlier would take the balance below the INR 103,200 minimum (lowest projected balance INR 168,895.59 on 14 February 2023 (including the reserved INR 3,650 hospital bill payable on 23 January 2023)); after the INR 132,000 salary on 15 February 2023 the full payment keeps the minimum protected. This is after the 13 February 2023 deadline, but no earlier plan is safe."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. Even after paying, the balance stays above the ZAR 21,900 minimum for the next 90 days (lowest point ZAR 48,711.70 on 2 November 2025), with the ZAR 26,180 invoice payment on 15 August 2025."
request_75,25906.34,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,,stop:event_6960|reduce_to:event_6961:419.76,"Reduce the online retail purchases to ZAR 419.76 and stop the family streaming plan, then use 3 installments of ZAR 9,800.27, starting 9 April 2026 (total ZAR 29,400.81). Paying ZAR 28,270 today is not safe (only ZAR 25,906.34 is available above the ZAR 39,000 minimum); the spread-out installments fit the existing balance and keep at least ZAR 39,000 available."
request_76,154.8,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4,455.60 request. Although USD 154.80 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at USD 1,954.80 on 14 August 2024 against the USD 1,800 minimum, and the USD 1,843.20 salary on 15 June 2024."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. Even after paying, the balance stays above the INR 82,200 minimum for the next 90 days (lowest point INR 87,161.10 on 13 November 2025), with the INR 111,000 salary on 15 November 2025."
request_78,47631.11,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,reduce_to:event_7224:805|reduce_to:event_7225:1480,"Reduce the monthly shopping spend to INR 1,480 and reduce the video streaming plan to INR 805, then pay INR 50,200 today. Without these changes only INR 47,631.11 is safe today and the full amount is not safe until 15 October 2025, past the 14 October 2025 deadline; with them the balance stays above the INR 55,200 minimum, helped by the INR 89,000 salary on 15 October 2025."
request_79,286.73,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 286.73 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at EUR 1,286.73 on 14 September 2024 against the EUR 1,000 minimum, and the EUR 1,313.76 salary on 15 September 2024."
request_80,13291.86,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217,500 request. Although INR 13,291.86 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at INR 134,591.86 on 13 April 2025 (including the reserved INR 6,710 pending online order charge on 7 February 2025) against the INR 121,300 minimum, and the INR 94,800 salary on 15 February 2025."
request_81,2040.79,affordable_with_plan,full_payment,2026-07-03:2076,2026-07-15,reduce_to:event_7636:37.50,"Reduce the weekend food delivery to USD 37.50, then pay USD 2,076 today. Without these changes only USD 2,040.79 is safe today and the full amount is not safe until 15 July 2026, past the 14 July 2026 deadline; with them the balance stays above the USD 1,600 minimum, helped by the USD 2,808 salary on 15 July 2026."
request_82,354.89,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Pay USD 1,405.20 in full on 15 February 2025. Only USD 354.89 is safe today: paying earlier would take the balance below the USD 1,100 minimum (lowest projected balance USD 1,454.89 on 13 December 2024 (including the reserved USD 91 pending merchant debit on 8 December 2024)); after the USD 1,752 salary on 15 December 2024 the full payment keeps the minimum protected."
request_83,2919.6,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200 request. Although INR 2,919.60 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at INR 40,719.60 on 14 May 2025 (including the reserved INR 2,800 pending pharmacy card charge on 11 May 2025) against the INR 37,800 minimum, and the INR 62,000 salary on 15 May 2025."
request_84,21566.96,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Only INR 21,566.96 is safe today: paying earlier would take the balance below the INR 91,300 minimum (lowest projected balance INR 112,866.96 on 13 April 2026 (including the reserved INR 6,080 scheduled insurance payment on 11 April 2026)); after the INR 107,995.68 salary on 15 April 2026 the full payment keeps the minimum protected."
request_85,403679.66,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 403,679.66 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at IDR 6,799,979.66 on 14 March 2024 against the IDR 6,396,300 minimum, and the IDR 8,618,400 salary on 15 March 2024."
request_86,41460.08,affordable_later,wait,2025-08-23:46300,2025-08-23,none,"Wait until 23 August 2025, then pay INR 46,300 in full. Only INR 41,460.08 is safe today: paying earlier would take the balance below the INR 84,900 minimum (lowest projected balance INR 126,360.08 on 22 August 2025); after the INR 124,000 salary on 23 August 2025 the full payment keeps the minimum protected. This is after the 22 August 2025 deadline, but no earlier plan is safe."
request_87,13270.75,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900 request. Although INR 13,270.75 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at INR 199,170.75 on 14 January 2026 against the INR 185,900 minimum, and the INR 251,000 salary on 15 January 2026."
request_88,8434.61,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,reduce_to:event_8301:655.60,"Reduce the lunch with colleagues to ZAR 655.60, then use 3 installments of ZAR 9,045.23, starting 14 June 2024 (total ZAR 27,135.69). Paying ZAR 26,092 today is not safe (only ZAR 8,434.61 is available above the ZAR 25,800 minimum); the installments are covered by the ZAR 34,760 salary on 15 June 2024 and keep at least ZAR 25,800 available."
request_89,8791797.24,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,reduce_to:event_8337:266760,"Reduce the monthly shopping spend to IDR 266,760, then use 3 installments of IDR 4,768,746.67, starting 18 November 2025 (total IDR 14,306,240.01). Paying IDR 13,756,000 today is not safe (only IDR 8,791,797.24 is available above the IDR 12,534,700 minimum); the installments are covered by the IDR 15,200,000 salary on 15 November 2025 and keep at least IDR 12,534,700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. Even after paying, the balance stays above the ZAR 7,600 minimum for the next 90 days (lowest point ZAR 21,213.21 on 4 October 2026), with the ZAR 13,420 invoice payment on 15 July 2026."
request_91,486.61,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Only EUR 486.61 is safe today: paying earlier would take the balance below the EUR 2,100 minimum (lowest projected balance EUR 2,586.61 on 14 September 2024 (including the reserved EUR 166 scheduled bill payment retry on 7 September 2024)); after the EUR 2,387 salary on 15 September 2024 the full payment keeps the minimum protected."
request_92,33763.99,affordable_with_plan,full_payment,2025-02-05:34034,2025-02-15,reduce_to:event_8620:558.80,"Reduce the local event tickets to ZAR 558.80, then pay ZAR 34,034 today. Without these changes only ZAR 33,763.99 is safe today and the full amount is not safe until 15 February 2025, past the 14 February 2025 deadline; with them the balance stays above the ZAR 28,100 minimum, helped by the ZAR 29,568 salary on 15 February 2025."
request_93,1673.22,affordable_with_plan,full_payment,2026-04-07:1729.20,2026-04-15,stop:event_8691,"Stop the video streaming plan, then pay USD 1,729.20 today. Without these changes only USD 1,673.22 is safe today and the full amount is not safe until 15 April 2026, past the 14 April 2026 deadline; with them the balance stays above the USD 1,900 minimum, helped by the USD 2,412 salary on 15 April 2026."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Pay EUR 572 today. Even after paying, the balance stays above the EUR 600 minimum for the next 90 days (lowest point EUR 1,353.80 on 4 March 2025), with the EUR 924 invoice payment on 15 December 2024."
request_95,13382.26,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 13,382.26 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at INR 158,882.26 on 18 May 2025 against the INR 145,500 minimum, and the INR 251,000 salary on 23 May 2025."
request_96,71095.33,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,stop:event_8914,"Stop the food delivery membership, then use 3 installments of INR 31,269.33, starting 10 January 2026 (total INR 93,807.99). Paying INR 90,200 today is not safe (only INR 71,095.33 is available above the INR 56,500 minimum); the installments are covered by the INR 80,000 salary on 15 January 2026 and keep at least INR 56,500 available."
request_97,0,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,,reduce_to:event_9038:577.50,"Reduce the neighbourhood restaurant to ZAR 577.50, then use 3 installments of ZAR 8,145.28, starting 19 March 2024 (total ZAR 24,435.84). Paying ZAR 23,496 today is not safe (only ZAR 0 is available above the ZAR 29,700 minimum); the installments are covered by the ZAR 35,420 salary on 15 March 2024 and keep at least ZAR 29,700 available."
request_98,7346.16,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 15 October 2025. Only ZAR 7,346.16 is safe today: paying earlier would take the balance below the ZAR 30,000 minimum (lowest projected balance ZAR 37,346.16 on 13 August 2025); after the ZAR 36,080 salary on 15 August 2025 the full payment keeps the minimum protected."
request_99,17514.28,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,stop:event_9188,"Stop the family streaming plan, then pay ZAR 18,062 today. Without these changes only ZAR 17,514.28 is safe today and the full amount is not safe until 15 July 2026, past the 14 July 2026 deadline; with them the balance stays above the ZAR 49,100 minimum, helped by the ZAR 56,980 salary on 15 July 2026."
request_100,25113.12,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,reduce_to:event_9267:508.20,"Reduce the streaming subscription to ZAR 508.20, then use 3 installments of ZAR 12,866.19, starting 13 June 2024 (total ZAR 38,598.57). Paying ZAR 37,114 today is not safe (only ZAR 25,113.12 is available above the ZAR 32,500 minimum); the installments are covered by the ZAR 42,680 salary on 15 June 2024 and keep at least ZAR 32,500 available."
request_101,142215.15,affordable_with_plan,full_payment,2025-11-03:143500,2025-11-15,stop:event_9378,"Stop the online backup subscription, then pay INR 143,500 today. Without these changes only INR 142,215.15 is safe today and the full amount is not safe until 15 November 2025, past the 14 November 2025 deadline; with them the balance stays above the INR 187,400 minimum, helped by the INR 254,000 salary on 15 November 2025."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026 (total EUR 1,784.64). You do not accept a single full payment; the installments are covered by the EUR 1,419 invoice payment on 15 April 2026 and keep at least EUR 900 available."
request_103,8428.17,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300 request. Although INR 8,428.17 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at INR 133,928.17 on 13 September 2024 (including the reserved INR 7,490 pending pharmacy card charge on 11 September 2024) against the INR 125,500 minimum, and the INR 164,880 salary on 15 September 2024."
request_104,7029.35,affordable_later,wait,2025-04-15:17204,2025-04-15,none,"Pay ZAR 17,204 in full on 15 April 2025. Only ZAR 7,029.35 is safe today: paying earlier would take the balance below the ZAR 24,700 minimum (lowest projected balance ZAR 31,729.35 on 12 April 2025 (including the reserved ZAR 1,964.60 scheduled utility debit on 11 February 2025)); after the ZAR 21,516 salary on 15 February 2025 the full payment keeps the minimum protected."
request_105,51388.06,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632,"Reduce the household shopping to INR 1,632, then pay INR 53,500 today. Without these changes only INR 51,388.06 is safe today and the full amount is not safe until 15 June 2026, past the 14 June 2026 deadline; with them the balance stays above the INR 73,900 minimum, helped by the INR 117,000 salary on 15 June 2026."
